clip,frame,ball_x,ball_y,visibility
Dataset_Clutch/Clip1,0,,,0
Dataset_Clutch/Clip1,1,,,0
Dataset_Clutch/Clip1,2,840.0,723.0,1
Dataset_Clutch/Clip1,3,843.0,711.0,1
Dataset_Clutch/Clip1,4,840.0,699.0,1
Dataset_Clutch/Clip1,5,840.0,687.0,1
Dataset_Clutch/Clip1,6,837.0,672.0,1
Dataset_Clutch/Clip1,7,834.0,663.0,1
Dataset_Clutch/Clip1,8,,,0
Dataset_Clutch/Clip1,9,,,0
Dataset_Clutch/Clip1,10,834.0,630.0,1
Dataset_Clutch/Clip1,11,831.0,618.0,1
Dataset_Clutch/Clip1,12,831.0,609.0,1
Dataset_Clutch/Clip1,13,831.0,600.0,1
Dataset_Clutch/Clip1,14,828.0,591.0,1
Dataset_Clutch/Clip1,15,828.0,585.0,1
Dataset_Clutch/Clip1,16,828.0,576.0,1
Dataset_Clutch/Clip1,17,828.0,570.0,1
Dataset_Clutch/Clip1,18,825.0,564.0,1
Dataset_Clutch/Clip1,19,825.0,558.0,1
Dataset_Clutch/Clip1,20,822.0,552.0,1
Dataset_Clutch/Clip1,21,822.0,546.0,1
Dataset_Clutch/Clip1,22,822.0,540.0,1
Dataset_Clutch/Clip1,23,819.0,537.0,1
Dataset_Clutch/Clip1,24,819.0,534.0,1
Dataset_Clutch/Clip1,25,816.0,531.0,1
Dataset_Clutch/Clip1,26,816.0,525.0,1
Dataset_Clutch/Clip1,27,816.0,525.0,1
Dataset_Clutch/Clip1,28,813.0,522.0,1
Dataset_Clutch/Clip1,29,813.0,519.0,1
Dataset_Clutch/Clip1,30,810.0,519.0,1
Dataset_Clutch/Clip1,31,810.0,516.0,1
Dataset_Clutch/Clip1,32,810.0,519.0,1
Dataset_Clutch/Clip1,33,807.0,519.0,1
Dataset_Clutch/Clip1,34,807.0,516.0,1
Dataset_Clutch/Clip1,35,807.0,519.0,1
Dataset_Clutch/Clip1,36,804.0,519.0,1
Dataset_Clutch/Clip1,37,804.0,522.0,1
Dataset_Clutch/Clip1,38,804.0,522.0,1
Dataset_Clutch/Clip1,39,804.0,525.0,1
Dataset_Clutch/Clip1,40,801.0,528.0,1
Dataset_Clutch/Clip1,41,801.0,531.0,1
Dataset_Clutch/Clip1,42,798.0,534.0,1
Dataset_Clutch/Clip1,43,798.0,537.0,1
Dataset_Clutch/Clip1,44,,,0
Dataset_Clutch/Clip1,45,858.0,522.0,1
Dataset_Clutch/Clip1,46,894.0,507.0,1
Dataset_Clutch/Clip1,47,921.0,498.0,1
Dataset_Clutch/Clip1,48,945.0,492.0,1
Dataset_Clutch/Clip1,49,966.0,486.0,1
Dataset_Clutch/Clip1,50,984.0,480.0,1
Dataset_Clutch/Clip1,51,999.0,477.0,1
Dataset_Clutch/Clip1,52,1026.0,468.0,1
Dataset_Clutch/Clip1,53,1038.0,465.0,1
Dataset_Clutch/Clip1,54,1056.0,459.0,1
Dataset_Clutch/Clip1,55,1068.0,456.0,1
Dataset_Clutch/Clip1,56,1083.0,450.0,1
Dataset_Clutch/Clip1,57,1095.0,447.0,1
Dataset_Clutch/Clip1,58,1107.0,444.0,1
Dataset_Clutch/Clip1,59,1116.0,444.0,1
Dataset_Clutch/Clip1,60,1128.0,441.0,1
Dataset_Clutch/Clip1,61,1137.0,441.0,1
Dataset_Clutch/Clip1,62,1143.0,438.0,1
