00:46:29 | INFO    | main | Game: Dataset_Clutch | salida: /workspace/TFM/outputs/final_v1
00:46:30 | INFO    | src.pipeline.orchestrator | Game Dataset_Clutch | 169 clips: Clip1, Clip2, Clip3, Clip4, Clip5, Clip6, Clip7, Clip8, Clip9, Clip10, Clip11, Clip12, Clip13, Clip14, Clip15, Clip16, Clip17, Clip18, Clip19, Clip20, Clip21, Clip22, Clip23, Clip24, Clip25, Clip26, Clip27, Clip28, Clip29, Clip30, Clip31, Clip32, Clip33, Clip34, Clip35, Clip36, Clip37, Clip38, Clip39, Clip40, Clip41, Clip42, Clip43, Clip44, Clip45, Clip46, Clip47, Clip48, Clip49, Clip50, Clip51, Clip52, Clip53, Clip54, Clip55, Clip56, Clip57, Clip58, Clip59, Clip60, Clip61, Clip62, Clip63, Clip64, Clip65, Clip66, Clip67, Clip68, Clip69, Clip70, Clip71, Clip72, Clip73, Clip74, Clip75, Clip76, Clip77, Clip78, Clip79, Clip80, Clip81, Clip82, Clip83, Clip84, Clip85, Clip86, Clip87, Clip88, Clip89, Clip90, Clip91, Clip92, Clip93, Clip94, Clip95, Clip96, Clip97, Clip98, Clip99, Clip100, Clip101, Clip102, Clip103, Clip104, Clip105, Clip106, Clip107, Clip108, Clip109, Clip110, Clip111, Clip112, Clip113, Clip114, Clip115, Clip116, Clip117, Clip118, Clip119, Clip120, Clip121, Clip122, Clip123, Clip124, Clip125, Clip126, Clip127, Clip128, Clip129, Clip130, Clip131, Clip132, Clip133, Clip134, Clip135, Clip136, Clip137, Clip138, Clip139, Clip140, Clip141, Clip142, Clip143, Clip144, Clip145, Clip146, Clip147, Clip148, Clip149, Clip150, Clip151, Clip152, Clip153, Clip154, Clip155, Clip156, Clip157, Clip158, Clip159, Clip160, Clip161, Clip162, Clip163, Clip164, Clip165, Clip166, Clip167, Clip168, Clip169
00:46:30 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip1 | 250 frames | 1920x1080
00:46:30 | INFO    | src.tracking.player_tracker | Modelo YOLO cargado: yolo11m.pt | clases COCO: 80
00:46:30 | INFO    | src.tracking.player_tracker | GPU detectada para YOLO: NVIDIA L4
00:46:44 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip1 | 10 tracks -> 2 seleccionados por movimiento
00:46:44 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip1 acumulado (500 filas) | presion punto: (1, 1).
00:46:44 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip2 | 92 frames | 1920x1080
00:46:49 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip2 | 8 tracks -> 2 seleccionados por movimiento
00:46:49 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip2 acumulado (184 filas) | presion punto: (1, 1).
00:46:49 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip3 | 200 frames | 1920x1080
00:46:59 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip3 | 12 tracks -> 2 seleccionados por movimiento
00:46:59 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip3 acumulado (400 filas) | presion punto: (1, 1).
00:46:59 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip4 | 400 frames | 1920x1080
00:47:20 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip4 | 12 tracks -> 2 seleccionados por movimiento
00:47:20 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip4 acumulado (800 filas) | presion punto: (1, 1).
00:47:20 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip5 | 100 frames | 1920x1080
00:47:25 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip5 | 9 tracks -> 2 seleccionados por movimiento
00:47:25 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip5 acumulado (200 filas) | presion punto: (1, 1).
00:47:25 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip6 | 436 frames | 1920x1080
00:47:47 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip6 | 9 tracks -> 2 seleccionados por movimiento
00:47:47 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip6 acumulado (872 filas) | presion punto: (1, 1).
00:47:47 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip7 | 350 frames | 1920x1080
00:48:05 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip7 | 15 tracks -> 2 seleccionados por movimiento
00:48:05 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip7 acumulado (700 filas) | presion punto: (1, 1).
