clip_id,game_id,pressure_p1,pressure_p2
Clip1,rgcajs,1,1
Clip2,rgcajs,1,1
Clip3,rgcajs,1,1
Clip4,rgcajs,1,1
Clip5,rgcajs,1,1
Clip6,rgcajs,1,1
Clip7,rgcajs,1,1
Clip8,rgcajs,1,1
Clip9,rgcajs,1,1
Clip10,rgcajs,1,1
Clip11,rgcajs,1,1
Clip12,rgcajs,1,1
Clip13,rgcajs,0,1
Clip14,rgcajs,0,0
Clip15,rgcajs,0,1
Clip16,rgcajs,0,0
Clip17,rgcajs,0,0
Clip18,rgcajs,0,0
Clip19,rgcajs,0,0
Clip20,rgcajs,0,0
Clip21,rgcajs,1,0
Clip22,rgcajs,0,0
Clip23,rgcajs,1,0
Clip24,rgcajs,0,0
Clip25,rgcajs,1,0
Clip26,rgcajs,1,0
Clip27,rgcajs,0,0
Clip28,rgcajs,0,0
Clip29,rgcajs,0,0
Clip30,rgcajs,0,0
Clip31,rgcajs,1,0
Clip32,rgcajs,0,0
Clip33,rgcajs,0,0
Clip34,rgcajs,0,0
Clip35,rgcajs,0,0
Clip36,rgcajs,1,0
Clip37,rgcajs,0,0
Clip38,rgcajs,0,0
Clip39,rgcajs,0,0
Clip40,rgcajs,0,0
Clip41,rgcajs,0,1
Clip42,rgcajs,0,1
Clip43,rgcajs,0,0
Clip44,rgcajs,0,0
Clip45,rgcajs,0,0
Clip46,rgcajs,0,0
Clip47,rgcajs,1,0
Clip48,rgcajs,0,0
Clip49,rgcajs,0,0
Clip50,rgcajs,0,0
Clip51,rgcajs,0,1
Clip52,rgcajs,0,0
Clip53,rgcajs,0,0
Clip54,rgcajs,0,0
Clip55,rgcajs,0,0
Clip56,rgcajs,0,0
Clip57,rgcajs,1,0
Clip58,rgcajs,0,0
Clip59,rgcajs,0,0
Clip60,rgcajs,0,0
Clip61,rgcajs,0,0
Clip62,rgcajs,0,1
Clip63,rgcajs,0,0
Clip64,rgcajs,1,0
Clip65,rgcajs,0,0
