clip,frame,ball_x,ball_y,visibility,is_bounce
game8/Clip1,0,,,0,0
game8/Clip1,1,,,0,0
game8/Clip1,2,604.0,116.0,1,0
game8/Clip1,3,604.0,120.0,1,0
game8/Clip1,4,606.0,126.0,1,1
game8/Clip1,5,602.0,118.0,1,0
game8/Clip1,6,646.0,166.0,1,0
game8/Clip1,7,662.0,184.0,1,0
game8/Clip1,8,680.0,204.0,1,0
game8/Clip1,9,700.0,226.0,1,0
game8/Clip1,10,724.0,252.0,1,0
game8/Clip1,11,746.0,278.0,1,0
game8/Clip1,12,766.0,306.0,1,0
game8/Clip1,13,794.0,338.0,1,0
game8/Clip1,14,818.0,370.0,1,0
game8/Clip1,15,842.0,402.0,1,0
game8/Clip1,16,870.0,438.0,1,0
game8/Clip1,17,892.0,458.0,1,2
game8/Clip1,18,912.0,456.0,1,0
game8/Clip1,19,930.0,456.0,1,0
game8/Clip1,20,950.0,458.0,1,0
game8/Clip1,21,970.0,460.0,1,0
game8/Clip1,22,990.0,466.0,1,0
game8/Clip1,23,1012.0,472.0,1,0
game8/Clip1,24,1034.0,478.0,1,1
game8/Clip1,25,996.0,438.0,1,0
game8/Clip1,26,210.0,38.0,1,0
game8/Clip1,27,942.0,386.0,1,0
game8/Clip1,28,916.0,364.0,1,0
game8/Clip1,29,890.0,340.0,1,0
game8/Clip1,30,860.0,316.0,1,0
game8/Clip1,31,838.0,298.0,1,0
game8/Clip1,32,820.0,284.0,1,0
game8/Clip1,33,804.0,272.0,1,0
game8/Clip1,34,784.0,260.0,1,0
game8/Clip1,35,766.0,250.0,1,2
game8/Clip1,36,750.0,240.0,1,0
game8/Clip1,37,736.0,234.0,1,0
game8/Clip1,38,722.0,228.0,1,0
game8/Clip1,39,708.0,222.0,1,0
game8/Clip1,40,696.0,218.0,1,0
game8/Clip1,41,684.0,216.0,1,0
game8/Clip1,42,672.0,214.0,1,0
game8/Clip1,43,660.0,214.0,1,0
game8/Clip1,44,652.0,214.0,1,0
game8/Clip1,45,642.0,214.0,1,0
game8/Clip1,46,634.0,214.0,1,0
game8/Clip1,47,990.0,478.0,1,0
game8/Clip1,48,222.0,172.0,1,0
game8/Clip1,49,606.0,224.0,1,0
game8/Clip1,50,598.0,228.0,1,0
game8/Clip1,51,590.0,234.0,1,2
game8/Clip1,52,586.0,224.0,1,0
game8/Clip1,53,580.0,212.0,1,0
game8/Clip1,54,576.0,202.0,1,0
game8/Clip1,55,572.0,194.0,1,0
game8/Clip1,56,568.0,186.0,1,0
game8/Clip1,57,564.0,180.0,1,1
game8/Clip1,58,562.0,174.0,1,0
game8/Clip1,59,562.0,168.0,1,0
game8/Clip1,60,560.0,162.0,1,0
game8/Clip1,61,560.0,158.0,1,0
game8/Clip1,62,558.0,154.0,1,0
game8/Clip1,63,558.0,154.0,1,0
game8/Clip1,64,838.0,462.0,1,0
game8/Clip1,65,806.0,492.0,1,0
game8/Clip1,66,,,0,0
game8/Clip1,67,,,0,0
game8/Clip1,68,,,0,0
game8/Clip1,69,550.0,152.0,1,0
game8/Clip1,70,548.0,156.0,1,0
game8/Clip1,71,548.0,160.0,1,0
game8/Clip1,72,546.0,166.0,1,0
game8/Clip1,73,544.0,172.0,1,0
game8/Clip1,74,544.0,178.0,1,0
game8/Clip1,75,542.0,186.0,1,0
game8/Clip1,76,540.0,194.0,1,0
game8/Clip1,77,538.0,206.0,1,0
game8/Clip1,78,538.0,216.0,1,0
game8/Clip1,79,536.0,228.0,1,0
game8/Clip1,80,534.0,244.0,1,0
game8/Clip1,81,534.0,256.0,1,0
game8/Clip1,82,532.0,272.0,1,0
game8/Clip1,83,530.0,288.0,1,0
game8/Clip1,84,528.0,304.0,1,0
game8/Clip1,85,528.0,324.0,1,0
game8/Clip1,86,526.0,344.0,1,0
game8/Clip1,87,526.0,366.0,1,0
game8/Clip1,88,522.0,388.0,1,0
game8/Clip1,89,522.0,410.0,1,0
game8/Clip1,90,520.0,436.0,1,0
game8/Clip1,91,518.0,434.0,1,2
game8/Clip1,92,518.0,426.0,1,0
game8/Clip1,93,516.0,420.0,1,0
game8/Clip1,94,516.0,414.0,1,0
game8/Clip1,95,514.0,410.0,1,0
game8/Clip1,96,514.0,406.0,1,0
game8/Clip1,97,512.0,404.0,1,0
game8/Clip1,98,510.0,404.0,1,0
game8/Clip1,99,510.0,404.0,1,0
game8/Clip1,100,508.0,404.0,1,0
game8/Clip1,101,508.0,406.0,1,0
game8/Clip1,102,506.0,410.0,1,0
game8/Clip1,103,506.0,414.0,1,0
game8/Clip1,104,504.0,420.0,1,0
game8/Clip1,105,504.0,428.0,1,0
game8/Clip1,106,502.0,436.0,1,0
game8/Clip1,107,500.0,444.0,1,0
game8/Clip1,108,500.0,456.0,1,0
game8/Clip1,109,500.0,470.0,1,0
