clip,frame,ball_x,ball_y,visibility
game0/Clip1,0,,,0
game0/Clip1,1,,,0
game0/Clip1,2,765.0,228.0,1
game0/Clip1,3,765.0,228.0,1
game0/Clip1,4,765.0,228.0,1
game0/Clip1,5,765.0,228.0,1
game0/Clip1,6,765.0,228.0,1
game0/Clip1,7,765.0,228.0,1
game0/Clip1,8,765.0,228.0,1
game0/Clip1,9,765.0,228.0,1
game0/Clip1,10,765.0,228.0,1
game0/Clip1,11,765.0,228.0,1
game0/Clip1,12,822.0,192.0,1
game0/Clip1,13,,,0
game0/Clip1,14,,,0
game0/Clip1,15,,,0
game0/Clip1,16,,,0
game0/Clip1,17,,,0
game0/Clip1,18,,,0
game0/Clip1,19,,,0
game0/Clip1,20,,,0
game0/Clip1,21,876.0,258.0,1
game0/Clip1,22,846.0,321.0,1
game0/Clip1,23,912.0,252.0,1
game0/Clip1,24,915.0,249.0,1
game0/Clip1,25,939.0,660.0,1
game0/Clip1,26,846.0,315.0,1
game0/Clip1,27,834.0,306.0,1
game0/Clip1,28,864.0,189.0,1
game0/Clip1,29,831.0,300.0,1
game0/Clip1,30,828.0,300.0,1
game0/Clip1,31,825.0,297.0,1
game0/Clip1,32,822.0,297.0,1
game0/Clip1,33,822.0,294.0,1
game0/Clip1,34,819.0,291.0,1
game0/Clip1,35,819.0,285.0,1
game0/Clip1,36,978.0,303.0,1
game0/Clip1,37,993.0,318.0,1
game0/Clip1,38,1008.0,336.0,1
game0/Clip1,39,1026.0,360.0,1
game0/Clip1,40,1041.0,381.0,1
game0/Clip1,41,1056.0,399.0,1
game0/Clip1,42,1077.0,426.0,1
game0/Clip1,43,1095.0,450.0,1
game0/Clip1,44,1110.0,471.0,1
game0/Clip1,45,1134.0,501.0,1
game0/Clip1,46,1152.0,525.0,1
game0/Clip1,47,1173.0,549.0,1
game0/Clip1,48,1197.0,582.0,1
game0/Clip1,49,1215.0,606.0,1
game0/Clip1,50,1230.0,609.0,1
game0/Clip1,51,1242.0,606.0,1
game0/Clip1,52,1257.0,606.0,1
game0/Clip1,53,1269.0,603.0,1
game0/Clip1,54,1278.0,603.0,1
game0/Clip1,55,1299.0,603.0,1
game0/Clip1,56,1311.0,603.0,1
game0/Clip1,57,1329.0,603.0,1
game0/Clip1,58,1344.0,606.0,1
game0/Clip1,59,1359.0,609.0,1
game0/Clip1,60,1377.0,612.0,1
game0/Clip1,61,1392.0,612.0,1
game0/Clip1,62,1401.0,615.0,1
game0/Clip1,63,1425.0,621.0,1
game0/Clip1,64,879.0,348.0,1
game0/Clip1,65,1458.0,633.0,1
game0/Clip1,66,1479.0,639.0,1
game0/Clip1,67,1497.0,645.0,1
game0/Clip1,68,1515.0,654.0,1
game0/Clip1,69,1533.0,660.0,1
game0/Clip1,70,1554.0,672.0,1
game0/Clip1,71,1572.0,678.0,1
game0/Clip1,72,912.0,249.0,1
game0/Clip1,73,1614.0,702.0,1
game0/Clip1,74,1635.0,711.0,1
game0/Clip1,75,1656.0,726.0,1
game0/Clip1,76,1677.0,738.0,1
game0/Clip1,77,1695.0,750.0,1
game0/Clip1,78,1719.0,768.0,1
game0/Clip1,79,1740.0,783.0,1
game0/Clip1,80,1767.0,798.0,1
game0/Clip1,81,1788.0,816.0,1
game0/Clip1,82,1815.0,837.0,1
game0/Clip1,83,1836.0,855.0,1
game0/Clip1,84,1851.0,867.0,1
game0/Clip1,85,1788.0,807.0,1
game0/Clip1,86,1734.0,759.0,1
game0/Clip1,87,1692.0,723.0,1
game0/Clip1,88,1644.0,684.0,1
game0/Clip1,89,1605.0,651.0,1
game0/Clip1,90,1566.0,618.0,1
game0/Clip1,91,1533.0,594.0,1
game0/Clip1,92,1497.0,567.0,1
game0/Clip1,93,1467.0,543.0,1
game0/Clip1,94,897.0,249.0,1
game0/Clip1,95,1314.0,975.0,1
game0/Clip1,96,897.0,249.0,1
game0/Clip1,97,1359.0,465.0,1
game0/Clip1,98,1338.0,453.0,1
game0/Clip1,99,1317.0,438.0,1
game0/Clip1,100,1299.0,432.0,1
game0/Clip1,101,672.0,339.0,1
game0/Clip1,102,1263.0,408.0,1
game0/Clip1,103,1245.0,396.0,1
game0/Clip1,104,1227.0,390.0,1
game0/Clip1,105,1200.0,375.0,1
game0/Clip1,106,1185.0,369.0,1
game0/Clip1,107,1176.0,366.0,1
game0/Clip1,108,1155.0,357.0,1
game0/Clip1,109,1143.0,351.0,1
game0/Clip1,110,1131.0,348.0,1
game0/Clip1,111,1116.0,342.0,1
game0/Clip1,112,1101.0,339.0,1
game0/Clip1,113,1092.0,336.0,1
game0/Clip1,114,1080.0,333.0,1
game0/Clip1,115,1065.0,333.0,1
game0/Clip1,116,1056.0,330.0,1
game0/Clip1,117,1044.0,327.0,1
game0/Clip1,118,1035.0,327.0,1
game0/Clip1,119,1026.0,327.0,1
game0/Clip1,120,1014.0,327.0,1
game0/Clip1,121,1005.0,327.0,1
game0/Clip1,122,996.0,327.0,1
game0/Clip1,123,987.0,327.0,1
game0/Clip1,124,978.0,330.0,1
game0/Clip1,125,969.0,333.0,1
game0/Clip1,126,960.0,333.0,1
game0/Clip1,127,951.0,336.0,1
game0/Clip1,128,945.0,339.0,1
game0/Clip1,129,936.0,342.0,1
game0/Clip1,130,930.0,345.0,1
game0/Clip1,131,921.0,348.0,1
game0/Clip1,132,915.0,351.0,1
game0/Clip1,133,909.0,351.0,1
game0/Clip1,134,906.0,345.0,1
game0/Clip1,135,900.0,333.0,1
game0/Clip1,136,897.0,324.0,1
game0/Clip1,137,891.0,315.0,1
game0/Clip1,138,888.0,306.0,1
game0/Clip1,139,885.0,300.0,1
game0/Clip1,140,882.0,294.0,1
game0/Clip1,141,882.0,291.0,1
game0/Clip1,142,879.0,294.0,1
game0/Clip1,143,879.0,294.0,1
game0/Clip1,144,876.0,297.0,1
game0/Clip1,145,879.0,300.0,1
game0/Clip1,146,876.0,303.0,1
game0/Clip1,147,876.0,306.0,1
game0/Clip1,148,876.0,309.0,1
game0/Clip1,149,876.0,312.0,1
game0/Clip1,150,876.0,318.0,1
game0/Clip1,151,873.0,321.0,1
game0/Clip1,152,873.0,327.0,1
game0/Clip1,153,873.0,333.0,1
game0/Clip1,154,873.0,339.0,1
game0/Clip1,155,870.0,345.0,1
game0/Clip1,156,870.0,351.0,1
game0/Clip1,157,870.0,360.0,1
game0/Clip1,158,870.0,366.0,1
game0/Clip1,159,867.0,375.0,1
game0/Clip1,160,867.0,381.0,1
game0/Clip1,161,864.0,393.0,1
game0/Clip1,162,864.0,405.0,1
game0/Clip1,163,864.0,414.0,1
game0/Clip1,164,861.0,423.0,1
game0/Clip1,165,861.0,432.0,1
game0/Clip1,166,861.0,447.0,1
game0/Clip1,167,858.0,459.0,1
game0/Clip1,168,858.0,471.0,1
game0/Clip1,169,855.0,483.0,1
game0/Clip1,170,855.0,495.0,1
game0/Clip1,171,852.0,510.0,1
game0/Clip1,172,852.0,525.0,1
game0/Clip1,173,852.0,537.0,1
game0/Clip1,174,849.0,555.0,1
game0/Clip1,175,846.0,570.0,1
game0/Clip1,176,846.0,591.0,1
game0/Clip1,177,843.0,606.0,1
game0/Clip1,178,843.0,621.0,1
game0/Clip1,179,840.0,639.0,1
game0/Clip1,180,837.0,645.0,1
game0/Clip1,181,837.0,645.0,1
game0/Clip1,182,837.0,642.0,1
game0/Clip1,183,834.0,639.0,1
game0/Clip1,184,834.0,639.0,1
game0/Clip1,185,834.0,639.0,1
game0/Clip1,186,834.0,639.0,1
game0/Clip1,187,834.0,642.0,1
game0/Clip1,188,831.0,642.0,1
game0/Clip1,189,831.0,642.0,1
game0/Clip1,190,831.0,645.0,1
game0/Clip1,191,831.0,648.0,1
game0/Clip1,192,828.0,648.0,1
game0/Clip1,193,828.0,651.0,1
game0/Clip1,194,828.0,657.0,1
game0/Clip1,195,828.0,660.0,1
game0/Clip1,196,825.0,666.0,1
game0/Clip1,197,825.0,672.0,1
game0/Clip1,198,822.0,678.0,1
game0/Clip1,199,822.0,684.0,1
game0/Clip1,200,822.0,690.0,1
game0/Clip1,201,819.0,696.0,1
game0/Clip1,202,819.0,705.0,1
game0/Clip1,203,819.0,714.0,1
game0/Clip1,204,816.0,723.0,1
game0/Clip1,205,816.0,732.0,1
game0/Clip1,206,813.0,741.0,1
game0/Clip1,207,813.0,753.0,1
game0/Clip1,208,810.0,762.0,1
game0/Clip1,209,810.0,774.0,1
game0/Clip1,210,810.0,786.0,1
game0/Clip1,211,810.0,792.0,1
game0/Clip1,212,822.0,759.0,1
game0/Clip1,213,840.0,708.0,1
game0/Clip1,214,846.0,681.0,1
game0/Clip1,215,858.0,651.0,1
game0/Clip1,216,867.0,624.0,1
game0/Clip1,217,876.0,603.0,1
game0/Clip1,218,885.0,579.0,1
game0/Clip1,219,891.0,558.0,1
game0/Clip1,220,900.0,540.0,1
game0/Clip1,221,906.0,522.0,1
game0/Clip1,222,912.0,507.0,1
game0/Clip1,223,918.0,495.0,1
game0/Clip1,224,927.0,477.0,1
game0/Clip1,225,933.0,468.0,1
game0/Clip1,226,933.0,303.0,1
game0/Clip1,227,939.0,450.0,1
game0/Clip1,228,618.0,345.0,1
game0/Clip1,229,951.0,426.0,1
game0/Clip1,230,960.0,417.0,1
game0/Clip1,231,963.0,408.0,1
game0/Clip1,232,966.0,402.0,1
game0/Clip1,233,972.0,396.0,1
game0/Clip1,234,978.0,390.0,1
game0/Clip1,235,981.0,384.0,1
game0/Clip1,236,984.0,381.0,1
game0/Clip1,237,990.0,375.0,1
game0/Clip1,238,993.0,372.0,1
game0/Clip1,239,996.0,369.0,1
game0/Clip1,240,999.0,366.0,1
game0/Clip1,241,1002.0,366.0,1
game0/Clip1,242,1005.0,363.0,1
game0/Clip1,243,1011.0,363.0,1
game0/Clip1,244,1014.0,360.0,1
game0/Clip1,245,1017.0,360.0,1
game0/Clip1,246,1020.0,360.0,1
game0/Clip1,247,1023.0,360.0,1
game0/Clip1,248,1023.0,363.0,1
game0/Clip1,249,1029.0,363.0,1
game0/Clip1,250,1029.0,363.0,1
game0/Clip1,251,1032.0,363.0,1
game0/Clip1,252,1038.0,366.0,1
game0/Clip1,253,1038.0,363.0,1
game0/Clip1,254,1038.0,354.0,1
game0/Clip1,255,1041.0,345.0,1
game0/Clip1,256,1044.0,333.0,1
game0/Clip1,257,1044.0,327.0,1
game0/Clip1,258,1047.0,318.0,1
game0/Clip1,259,1050.0,309.0,1
game0/Clip1,260,1050.0,303.0,1
game0/Clip1,261,1053.0,297.0,1
game0/Clip1,262,1053.0,291.0,1
game0/Clip1,263,1056.0,285.0,1
game0/Clip1,264,1056.0,279.0,1
game0/Clip1,265,1059.0,273.0,1
game0/Clip1,266,1062.0,270.0,1
game0/Clip1,267,1062.0,264.0,1
game0/Clip1,268,1065.0,261.0,1
game0/Clip1,269,1062.0,261.0,1
game0/Clip1,270,1062.0,264.0,1
game0/Clip1,271,1056.0,264.0,1
game0/Clip1,272,1053.0,267.0,1
game0/Clip1,273,1050.0,270.0,1
game0/Clip1,274,1044.0,273.0,1
game0/Clip1,275,1041.0,279.0,1
game0/Clip1,276,909.0,927.0,1
game0/Clip1,277,807.0,921.0,1
game0/Clip1,278,807.0,927.0,1
game0/Clip1,279,924.0,939.0,1
game0/Clip1,280,927.0,942.0,1
game0/Clip1,281,1179.0,876.0,1
game0/Clip1,282,1053.0,888.0,1
game0/Clip1,283,1053.0,888.0,1
game0/Clip1,284,1005.0,327.0,1
game0/Clip1,285,1002.0,333.0,1
game0/Clip1,286,999.0,345.0,1
game0/Clip1,287,996.0,351.0,1
game0/Clip1,288,990.0,363.0,1
game0/Clip1,289,987.0,369.0,1
game0/Clip1,290,984.0,381.0,1
game0/Clip1,291,981.0,390.0,1
game0/Clip1,292,975.0,399.0,1
game0/Clip1,293,972.0,411.0,1
game0/Clip1,294,966.0,423.0,1
game0/Clip1,295,1074.0,903.0,1
game0/Clip1,296,957.0,450.0,1
game0/Clip1,297,954.0,462.0,1
game0/Clip1,298,951.0,477.0,1
game0/Clip1,299,945.0,489.0,1
game0/Clip1,300,939.0,507.0,1
game0/Clip1,301,936.0,525.0,1
game0/Clip1,302,933.0,540.0,1
game0/Clip1,303,930.0,558.0,1
game0/Clip1,304,924.0,576.0,1
game0/Clip1,305,921.0,591.0,1
game0/Clip1,306,915.0,612.0,1
game0/Clip1,307,912.0,630.0,1
game0/Clip1,308,909.0,651.0,1
game0/Clip1,309,903.0,669.0,1
game0/Clip1,310,900.0,693.0,1
game0/Clip1,311,894.0,717.0,1
game0/Clip1,312,888.0,741.0,1
game0/Clip1,313,885.0,753.0,1
game0/Clip1,314,882.0,753.0,1
game0/Clip1,315,876.0,750.0,1
game0/Clip1,316,873.0,750.0,1
game0/Clip1,317,870.0,750.0,1
game0/Clip1,318,864.0,750.0,1
game0/Clip1,319,861.0,750.0,1
game0/Clip1,320,855.0,753.0,1
game0/Clip1,321,852.0,756.0,1
game0/Clip1,322,849.0,756.0,1
game0/Clip1,323,843.0,759.0,1
game0/Clip1,324,840.0,762.0,1
game0/Clip1,325,837.0,768.0,1
game0/Clip1,326,831.0,771.0,1
game0/Clip1,327,825.0,777.0,1
game0/Clip1,328,822.0,783.0,1
game0/Clip1,329,816.0,789.0,1
game0/Clip1,330,813.0,795.0,1
game0/Clip1,331,810.0,804.0,1
game0/Clip1,332,804.0,810.0,1
game0/Clip1,333,807.0,789.0,1
game0/Clip1,334,825.0,750.0,1
game0/Clip1,335,837.0,717.0,1
game0/Clip1,336,849.0,687.0,1
game0/Clip1,337,861.0,657.0,1
game0/Clip1,338,870.0,630.0,1
game0/Clip1,339,882.0,606.0,1
game0/Clip1,340,891.0,585.0,1
game0/Clip1,341,900.0,564.0,1
game0/Clip1,342,906.0,546.0,1
game0/Clip1,343,915.0,528.0,1
game0/Clip1,344,924.0,510.0,1
game0/Clip1,345,927.0,498.0,1
game0/Clip1,346,936.0,486.0,1
game0/Clip1,347,939.0,474.0,1
game0/Clip1,348,945.0,465.0,1
