clip,frame,ball_x,ball_y,visibility,is_bounce
game1/Clip1,0,,,0,0
game1/Clip1,1,,,0,0
game1/Clip1,2,600.0,388.0,1,0
game1/Clip1,3,598.0,368.0,1,0
game1/Clip1,4,598.0,352.0,1,0
game1/Clip1,5,598.0,338.0,1,0
game1/Clip1,6,596.0,324.0,1,0
game1/Clip1,7,596.0,310.0,1,0
game1/Clip1,8,594.0,298.0,1,0
game1/Clip1,9,592.0,288.0,1,0
game1/Clip1,10,592.0,278.0,1,0
game1/Clip1,11,592.0,270.0,1,0
game1/Clip1,12,590.0,264.0,1,0
game1/Clip1,13,590.0,258.0,1,0
game1/Clip1,14,588.0,254.0,1,0
game1/Clip1,15,588.0,252.0,1,0
game1/Clip1,16,586.0,250.0,1,0
game1/Clip1,17,584.0,250.0,1,0
game1/Clip1,18,584.0,252.0,1,0
game1/Clip1,19,584.0,256.0,1,0
game1/Clip1,20,584.0,258.0,1,0
game1/Clip1,21,582.0,262.0,1,0
game1/Clip1,22,582.0,268.0,1,0
game1/Clip1,23,582.0,276.0,1,0
game1/Clip1,24,580.0,284.0,1,0
game1/Clip1,25,580.0,294.0,1,1
game1/Clip1,26,608.0,284.0,1,1
game1/Clip1,27,650.0,266.0,1,0
game1/Clip1,28,680.0,256.0,1,0
game1/Clip1,29,702.0,248.0,1,0
game1/Clip1,30,742.0,236.0,1,0
game1/Clip1,31,756.0,234.0,1,0
game1/Clip1,32,768.0,234.0,1,0
game1/Clip1,33,778.0,232.0,1,2
game1/Clip1,34,786.0,214.0,1,0
game1/Clip1,35,794.0,192.0,1,0
game1/Clip1,36,800.0,176.0,1,0
game1/Clip1,37,806.0,158.0,1,0
game1/Clip1,38,812.0,144.0,1,0
game1/Clip1,39,816.0,134.0,1,0
game1/Clip1,40,818.0,124.0,1,0
game1/Clip1,41,820.0,118.0,1,1
game1/Clip1,42,814.0,116.0,1,0
game1/Clip1,43,806.0,116.0,1,0
game1/Clip1,44,800.0,116.0,1,0
game1/Clip1,45,788.0,158.0,1,0
game1/Clip1,46,,,0,0
game1/Clip1,47,764.0,120.0,1,0
game1/Clip1,48,760.0,120.0,1,0
game1/Clip1,49,752.0,124.0,1,0
game1/Clip1,50,742.0,126.0,1,0
game1/Clip1,51,732.0,130.0,1,0
game1/Clip1,52,722.0,134.0,1,0
game1/Clip1,53,714.0,140.0,1,0
game1/Clip1,54,700.0,146.0,1,0
game1/Clip1,55,690.0,152.0,1,0
game1/Clip1,56,680.0,160.0,1,0
game1/Clip1,57,670.0,168.0,1,0
game1/Clip1,58,656.0,178.0,1,0
game1/Clip1,59,644.0,186.0,1,0
game1/Clip1,60,632.0,196.0,1,0
game1/Clip1,61,620.0,208.0,1,0
game1/Clip1,62,606.0,222.0,1,0
game1/Clip1,63,594.0,234.0,1,0
game1/Clip1,64,580.0,250.0,1,0
game1/Clip1,65,566.0,264.0,1,0
game1/Clip1,66,552.0,280.0,1,0
game1/Clip1,67,536.0,300.0,1,0
game1/Clip1,68,522.0,318.0,1,0
game1/Clip1,69,508.0,338.0,1,0
game1/Clip1,70,492.0,358.0,1,0
game1/Clip1,71,476.0,380.0,1,0
game1/Clip1,72,458.0,406.0,1,0
game1/Clip1,73,444.0,428.0,1,0
game1/Clip1,74,374.0,438.0,1,0
game1/Clip1,75,372.0,438.0,1,0
game1/Clip1,76,372.0,446.0,1,0
game1/Clip1,77,660.0,140.0,1,0
game1/Clip1,78,372.0,440.0,1,0
game1/Clip1,79,364.0,440.0,1,0
game1/Clip1,80,360.0,472.0,1,0
game1/Clip1,81,336.0,448.0,1,0
game1/Clip1,82,326.0,452.0,1,1
game1/Clip1,83,,,0,1
game1/Clip1,84,414.0,364.0,1,0
game1/Clip1,85,402.0,368.0,1,0
game1/Clip1,86,400.0,372.0,1,0
game1/Clip1,87,510.0,278.0,1,0
game1/Clip1,88,536.0,258.0,1,0
game1/Clip1,89,562.0,240.0,1,0
game1/Clip1,90,584.0,224.0,1,0
game1/Clip1,91,604.0,212.0,1,0
game1/Clip1,92,622.0,200.0,1,0
game1/Clip1,93,640.0,192.0,1,0
game1/Clip1,94,656.0,186.0,1,0
game1/Clip1,95,670.0,180.0,1,0
game1/Clip1,96,684.0,176.0,1,0
game1/Clip1,97,696.0,174.0,1,0
game1/Clip1,98,708.0,172.0,1,0
game1/Clip1,99,720.0,172.0,1,0
game1/Clip1,100,730.0,172.0,1,0
game1/Clip1,101,740.0,174.0,1,0
game1/Clip1,102,750.0,176.0,1,0
game1/Clip1,103,758.0,180.0,1,0
game1/Clip1,104,766.0,184.0,1,0
game1/Clip1,105,774.0,188.0,1,2
game1/Clip1,106,780.0,188.0,1,0
game1/Clip1,107,786.0,176.0,1,0
game1/Clip1,108,778.0,148.0,1,0
game1/Clip1,109,784.0,150.0,1,0
game1/Clip1,110,804.0,142.0,1,0
game1/Clip1,111,808.0,136.0,1,0
game1/Clip1,112,812.0,130.0,1,0
game1/Clip1,113,816.0,124.0,1,0
game1/Clip1,114,820.0,120.0,1,0
game1/Clip1,115,824.0,116.0,1,1
game1/Clip1,116,824.0,120.0,1,0
game1/Clip1,117,822.0,128.0,1,0
game1/Clip1,118,822.0,136.0,1,0
game1/Clip1,119,820.0,156.0,1,0
game1/Clip1,120,786.0,72.0,1,0
game1/Clip1,121,536.0,484.0,1,0
game1/Clip1,122,814.0,200.0,1,0
game1/Clip1,123,814.0,218.0,1,0
game1/Clip1,124,814.0,238.0,1,0
game1/Clip1,125,814.0,260.0,1,0
game1/Clip1,126,814.0,284.0,1,0
game1/Clip1,127,812.0,308.0,1,0
game1/Clip1,128,812.0,338.0,1,0
game1/Clip1,129,812.0,368.0,1,0
game1/Clip1,130,812.0,402.0,1,0
game1/Clip1,131,812.0,410.0,1,2
game1/Clip1,132,810.0,414.0,1,0
game1/Clip1,133,808.0,420.0,1,0
game1/Clip1,134,806.0,430.0,1,0
game1/Clip1,135,806.0,440.0,1,0
game1/Clip1,136,804.0,452.0,1,0
game1/Clip1,137,802.0,466.0,1,0
game1/Clip1,138,800.0,482.0,1,0
game1/Clip1,139,798.0,502.0,1,0
game1/Clip1,140,796.0,522.0,1,0
game1/Clip1,141,790.0,494.0,1,1
game1/Clip1,142,780.0,450.0,1,1
game1/Clip1,143,768.0,402.0,1,0
game1/Clip1,144,760.0,366.0,1,0
game1/Clip1,145,752.0,334.0,1,0
game1/Clip1,146,744.0,308.0,1,0
game1/Clip1,147,736.0,286.0,1,0
game1/Clip1,148,730.0,264.0,1,0
game1/Clip1,149,722.0,248.0,1,0
game1/Clip1,150,716.0,232.0,1,0
game1/Clip1,151,710.0,222.0,1,0
game1/Clip1,152,704.0,212.0,1,0
game1/Clip1,153,698.0,204.0,1,0
game1/Clip1,154,694.0,198.0,1,0
game1/Clip1,155,688.0,194.0,1,0
game1/Clip1,156,682.0,192.0,1,0
game1/Clip1,157,676.0,190.0,1,0
game1/Clip1,158,672.0,190.0,1,0
game1/Clip1,159,668.0,190.0,1,0
game1/Clip1,160,662.0,190.0,1,0
game1/Clip1,161,658.0,194.0,1,0
game1/Clip1,162,654.0,196.0,1,0
game1/Clip1,163,650.0,200.0,1,0
game1/Clip1,164,646.0,204.0,1,2
game1/Clip1,165,644.0,194.0,1,0
game1/Clip1,166,640.0,184.0,1,0
game1/Clip1,167,638.0,174.0,1,0
game1/Clip1,168,636.0,164.0,1,0
game1/Clip1,169,634.0,156.0,1,0
game1/Clip1,170,632.0,148.0,1,0
game1/Clip1,171,660.0,142.0,1,0
game1/Clip1,172,626.0,134.0,1,0
game1/Clip1,173,624.0,130.0,1,1
game1/Clip1,174,630.0,130.0,1,0
game1/Clip1,175,644.0,134.0,1,0
game1/Clip1,176,658.0,142.0,1,0
game1/Clip1,177,684.0,102.0,1,0
game1/Clip1,178,700.0,146.0,1,0
game1/Clip1,179,696.0,144.0,1,0
game1/Clip1,180,718.0,180.0,1,0
game1/Clip1,181,734.0,192.0,1,0
game1/Clip1,182,750.0,208.0,1,0
game1/Clip1,183,768.0,226.0,1,0
game1/Clip1,184,788.0,246.0,1,0
game1/Clip1,185,804.0,266.0,1,0
game1/Clip1,186,824.0,290.0,1,0
game1/Clip1,187,844.0,316.0,1,0
game1/Clip1,188,864.0,346.0,1,0
game1/Clip1,189,884.0,376.0,1,0
game1/Clip1,190,906.0,412.0,1,0
game1/Clip1,191,922.0,432.0,1,2
game1/Clip1,192,944.0,428.0,1,0
game1/Clip1,193,962.0,432.0,1,0
game1/Clip1,194,982.0,436.0,1,0
game1/Clip1,195,1002.0,444.0,1,0
game1/Clip1,196,1022.0,452.0,1,0
game1/Clip1,197,1038.0,462.0,1,0
