clip,frame,ball_x,ball_y,visibility,is_bounce
game8/Clip1,0,,,0,0
game8/Clip1,1,,,0,0
game8/Clip1,2,600.0,162.0,1,0
game8/Clip1,3,602.0,122.0,1,0
game8/Clip1,4,602.0,128.0,1,1
game8/Clip1,5,592.0,236.0,1,0
game8/Clip1,6,586.0,176.0,1,0
game8/Clip1,7,660.0,182.0,1,0
game8/Clip1,8,678.0,200.0,1,0
game8/Clip1,9,700.0,224.0,1,0
game8/Clip1,10,720.0,248.0,1,0
game8/Clip1,11,742.0,274.0,1,0
game8/Clip1,12,580.0,208.0,1,0
game8/Clip1,13,790.0,334.0,1,0
game8/Clip1,14,624.0,196.0,1,0
game8/Clip1,15,842.0,400.0,1,0
game8/Clip1,16,986.0,502.0,1,0
game8/Clip1,17,890.0,458.0,1,2
game8/Clip1,18,912.0,456.0,1,0
game8/Clip1,19,928.0,456.0,1,0
game8/Clip1,20,948.0,458.0,1,0
game8/Clip1,21,968.0,460.0,1,0
game8/Clip1,22,990.0,468.0,1,0
game8/Clip1,23,1014.0,472.0,1,0
game8/Clip1,24,1032.0,478.0,1,1
game8/Clip1,25,1006.0,448.0,1,0
game8/Clip1,26,1040.0,88.0,1,0
game8/Clip1,27,938.0,384.0,1,0
game8/Clip1,28,910.0,358.0,1,0
game8/Clip1,29,,,0,0
game8/Clip1,30,864.0,318.0,1,0
game8/Clip1,31,840.0,300.0,1,0
game8/Clip1,32,1076.0,572.0,1,0
game8/Clip1,33,802.0,270.0,1,0
game8/Clip1,34,784.0,260.0,1,0
game8/Clip1,35,766.0,248.0,1,2
game8/Clip1,36,750.0,240.0,1,0
game8/Clip1,37,736.0,232.0,1,0
game8/Clip1,38,720.0,226.0,1,0
game8/Clip1,39,708.0,222.0,1,0
game8/Clip1,40,696.0,218.0,1,0
game8/Clip1,41,684.0,214.0,1,0
game8/Clip1,42,672.0,214.0,1,0
game8/Clip1,43,660.0,212.0,1,0
game8/Clip1,44,206.0,34.0,1,0
game8/Clip1,45,642.0,212.0,1,0
game8/Clip1,46,634.0,214.0,1,0
game8/Clip1,47,620.0,224.0,1,0
game8/Clip1,48,220.0,172.0,1,0
game8/Clip1,49,218.0,168.0,1,0
game8/Clip1,50,214.0,164.0,1,0
game8/Clip1,51,590.0,234.0,1,2
game8/Clip1,52,586.0,224.0,1,0
game8/Clip1,53,580.0,212.0,1,0
game8/Clip1,54,576.0,202.0,1,0
game8/Clip1,55,572.0,194.0,1,0
game8/Clip1,56,568.0,186.0,1,0
game8/Clip1,57,564.0,180.0,1,1
game8/Clip1,58,562.0,172.0,1,0
game8/Clip1,59,560.0,168.0,1,0
game8/Clip1,60,560.0,162.0,1,0
game8/Clip1,61,558.0,158.0,1,0
game8/Clip1,62,558.0,156.0,1,0
game8/Clip1,63,1038.0,86.0,1,0
game8/Clip1,64,1038.0,86.0,1,0
game8/Clip1,65,1038.0,88.0,1,0
game8/Clip1,66,1038.0,88.0,1,0
game8/Clip1,67,1038.0,88.0,1,0
game8/Clip1,68,1038.0,88.0,1,0
game8/Clip1,69,550.0,156.0,1,0
game8/Clip1,70,548.0,156.0,1,0
game8/Clip1,71,546.0,160.0,1,0
game8/Clip1,72,546.0,166.0,1,0
game8/Clip1,73,544.0,172.0,1,0
game8/Clip1,74,542.0,178.0,1,0
game8/Clip1,75,542.0,186.0,1,0
game8/Clip1,76,540.0,194.0,1,0
game8/Clip1,77,538.0,204.0,1,0
game8/Clip1,78,538.0,216.0,1,0
game8/Clip1,79,536.0,228.0,1,0
game8/Clip1,80,534.0,242.0,1,0
game8/Clip1,81,534.0,256.0,1,0
game8/Clip1,82,532.0,270.0,1,0
game8/Clip1,83,530.0,286.0,1,0
game8/Clip1,84,530.0,304.0,1,0
game8/Clip1,85,528.0,322.0,1,0
game8/Clip1,86,526.0,342.0,1,0
game8/Clip1,87,524.0,362.0,1,0
game8/Clip1,88,522.0,386.0,1,0
game8/Clip1,89,522.0,406.0,1,0
game8/Clip1,90,520.0,432.0,1,0
game8/Clip1,91,518.0,434.0,1,2
game8/Clip1,92,516.0,426.0,1,0
game8/Clip1,93,516.0,420.0,1,0
game8/Clip1,94,514.0,414.0,1,0
game8/Clip1,95,514.0,408.0,1,0
game8/Clip1,96,512.0,406.0,1,0
game8/Clip1,97,512.0,404.0,1,0
game8/Clip1,98,510.0,402.0,1,0
game8/Clip1,99,510.0,404.0,1,0
game8/Clip1,100,508.0,404.0,1,0
game8/Clip1,101,508.0,408.0,1,0
game8/Clip1,102,506.0,410.0,1,0
game8/Clip1,103,504.0,416.0,1,0
game8/Clip1,104,504.0,420.0,1,0
game8/Clip1,105,504.0,428.0,1,0
game8/Clip1,106,502.0,436.0,1,0
game8/Clip1,107,500.0,444.0,1,0
game8/Clip1,108,500.0,456.0,1,0
