clip,frame,ball_x,ball_y,visibility
gameRG/Clip1,0,,,0
gameRG/Clip1,1,,,0
gameRG/Clip1,2,840.0,723.0,1
gameRG/Clip1,3,843.0,711.0,1
gameRG/Clip1,4,840.0,699.0,1
gameRG/Clip1,5,840.0,687.0,1
gameRG/Clip1,6,837.0,672.0,1
gameRG/Clip1,7,834.0,663.0,1
gameRG/Clip1,8,,,0
gameRG/Clip1,9,,,0
gameRG/Clip1,10,834.0,630.0,1
gameRG/Clip1,11,831.0,618.0,1
gameRG/Clip1,12,831.0,609.0,1
gameRG/Clip1,13,831.0,600.0,1
gameRG/Clip1,14,828.0,591.0,1
gameRG/Clip1,15,828.0,585.0,1
gameRG/Clip1,16,828.0,576.0,1
gameRG/Clip1,17,828.0,570.0,1
gameRG/Clip1,18,825.0,564.0,1
gameRG/Clip1,19,825.0,558.0,1
gameRG/Clip1,20,822.0,552.0,1
gameRG/Clip1,21,822.0,546.0,1
gameRG/Clip1,22,822.0,540.0,1
gameRG/Clip1,23,819.0,537.0,1
gameRG/Clip1,24,819.0,534.0,1
gameRG/Clip1,25,816.0,531.0,1
gameRG/Clip1,26,816.0,525.0,1
gameRG/Clip1,27,816.0,525.0,1
gameRG/Clip1,28,813.0,522.0,1
gameRG/Clip1,29,813.0,519.0,1
gameRG/Clip1,30,810.0,519.0,1
gameRG/Clip1,31,810.0,516.0,1
gameRG/Clip1,32,810.0,519.0,1
gameRG/Clip1,33,807.0,519.0,1
gameRG/Clip1,34,807.0,516.0,1
gameRG/Clip1,35,807.0,519.0,1
gameRG/Clip1,36,804.0,519.0,1
gameRG/Clip1,37,804.0,522.0,1
gameRG/Clip1,38,804.0,522.0,1
gameRG/Clip1,39,804.0,525.0,1
gameRG/Clip1,40,801.0,528.0,1
gameRG/Clip1,41,801.0,531.0,1
gameRG/Clip1,42,798.0,534.0,1
gameRG/Clip1,43,798.0,537.0,1
gameRG/Clip1,44,,,0
gameRG/Clip1,45,858.0,522.0,1
gameRG/Clip1,46,894.0,507.0,1
gameRG/Clip1,47,921.0,498.0,1
gameRG/Clip1,48,945.0,492.0,1
gameRG/Clip1,49,966.0,486.0,1
gameRG/Clip1,50,984.0,480.0,1
gameRG/Clip1,51,999.0,477.0,1
gameRG/Clip1,52,1026.0,468.0,1
gameRG/Clip1,53,1038.0,465.0,1
gameRG/Clip1,54,1056.0,459.0,1
gameRG/Clip1,55,1068.0,456.0,1
gameRG/Clip1,56,1083.0,450.0,1
gameRG/Clip1,57,1095.0,447.0,1
gameRG/Clip1,58,1107.0,444.0,1
gameRG/Clip1,59,1116.0,444.0,1
gameRG/Clip1,60,1128.0,441.0,1
gameRG/Clip1,61,1137.0,441.0,1
gameRG/Clip1,62,1143.0,438.0,1
gameRG/Clip1,63,1152.0,417.0,1
gameRG/Clip1,64,1158.0,402.0,1
gameRG/Clip1,65,1164.0,387.0,1
gameRG/Clip1,66,1170.0,372.0,1
gameRG/Clip1,67,1176.0,357.0,1
gameRG/Clip1,68,1179.0,351.0,1
gameRG/Clip1,69,1182.0,336.0,1
gameRG/Clip1,70,1191.0,324.0,1
gameRG/Clip1,71,1245.0,240.0,1
gameRG/Clip1,72,1245.0,237.0,1
gameRG/Clip1,73,,,0
gameRG/Clip1,74,,,0
gameRG/Clip1,75,,,0
gameRG/Clip1,76,,,0
gameRG/Clip1,77,,,0
gameRG/Clip1,78,,,0
gameRG/Clip1,79,,,0
gameRG/Clip1,80,,,0
gameRG/Clip1,81,,,0
gameRG/Clip1,82,,,0
gameRG/Clip1,83,,,0
gameRG/Clip1,84,,,0
gameRG/Clip1,85,,,0
gameRG/Clip1,86,,,0
gameRG/Clip1,87,1173.0,207.0,1
gameRG/Clip1,88,,,0
gameRG/Clip1,89,,,0
gameRG/Clip1,90,,,0
gameRG/Clip1,91,,,0
gameRG/Clip1,92,,,0
gameRG/Clip1,93,,,0
gameRG/Clip1,94,,,0
gameRG/Clip1,95,,,0
gameRG/Clip1,96,,,0
gameRG/Clip1,97,,,0
gameRG/Clip1,98,,,0
gameRG/Clip1,99,,,0
gameRG/Clip1,100,1167.0,288.0,1
gameRG/Clip1,101,1164.0,294.0,1
gameRG/Clip1,102,1161.0,300.0,1
gameRG/Clip1,103,1158.0,303.0,1
gameRG/Clip1,104,1155.0,312.0,1
gameRG/Clip1,105,1152.0,318.0,1
gameRG/Clip1,106,1146.0,327.0,1
gameRG/Clip1,107,1143.0,333.0,1
gameRG/Clip1,108,1140.0,342.0,1
gameRG/Clip1,109,1137.0,351.0,1
gameRG/Clip1,110,1134.0,360.0,1
gameRG/Clip1,111,1131.0,369.0,1
gameRG/Clip1,112,1125.0,381.0,1
gameRG/Clip1,113,1122.0,390.0,1
gameRG/Clip1,114,1119.0,399.0,1
gameRG/Clip1,115,1116.0,411.0,1
gameRG/Clip1,116,1113.0,423.0,1
gameRG/Clip1,117,1107.0,435.0,1
gameRG/Clip1,118,1104.0,447.0,1
gameRG/Clip1,119,1101.0,462.0,1
gameRG/Clip1,120,1098.0,477.0,1
gameRG/Clip1,121,1095.0,489.0,1
gameRG/Clip1,122,1092.0,504.0,1
gameRG/Clip1,123,1086.0,519.0,1
gameRG/Clip1,124,1083.0,534.0,1
gameRG/Clip1,125,1080.0,552.0,1
gameRG/Clip1,126,1074.0,567.0,1
gameRG/Clip1,127,1071.0,582.0,1
gameRG/Clip1,128,1068.0,600.0,1
gameRG/Clip1,129,1065.0,618.0,1
gameRG/Clip1,130,1062.0,636.0,1
gameRG/Clip1,131,1059.0,654.0,1
gameRG/Clip1,132,1056.0,660.0,1
gameRG/Clip1,133,1053.0,654.0,1
gameRG/Clip1,134,1050.0,648.0,1
gameRG/Clip1,135,1047.0,642.0,1
gameRG/Clip1,136,1044.0,642.0,1
gameRG/Clip1,137,1041.0,642.0,1
gameRG/Clip1,138,1038.0,639.0,1
gameRG/Clip1,139,1038.0,636.0,1
gameRG/Clip1,140,1035.0,636.0,1
gameRG/Clip1,141,1032.0,636.0,1
gameRG/Clip1,142,1029.0,633.0,1
gameRG/Clip1,143,1026.0,633.0,1
gameRG/Clip1,144,1023.0,633.0,1
gameRG/Clip1,145,1020.0,636.0,1
gameRG/Clip1,146,1017.0,636.0,1
gameRG/Clip1,147,1014.0,639.0,1
gameRG/Clip1,148,1011.0,642.0,1
gameRG/Clip1,149,1008.0,645.0,1
gameRG/Clip1,150,1005.0,648.0,1
gameRG/Clip1,151,1002.0,651.0,1
gameRG/Clip1,152,999.0,654.0,1
gameRG/Clip1,153,996.0,660.0,1
gameRG/Clip1,154,996.0,663.0,1
gameRG/Clip1,155,990.0,672.0,1
gameRG/Clip1,156,969.0,630.0,1
gameRG/Clip1,157,954.0,609.0,1
gameRG/Clip1,158,942.0,585.0,1
gameRG/Clip1,159,930.0,567.0,1
gameRG/Clip1,160,912.0,543.0,1
gameRG/Clip1,161,900.0,522.0,1
gameRG/Clip1,162,885.0,507.0,1
gameRG/Clip1,163,876.0,492.0,1
gameRG/Clip1,164,867.0,480.0,1
gameRG/Clip1,165,861.0,474.0,1
gameRG/Clip1,166,846.0,459.0,1
gameRG/Clip1,167,837.0,453.0,1
gameRG/Clip1,168,828.0,444.0,1
gameRG/Clip1,169,822.0,438.0,1
gameRG/Clip1,170,810.0,429.0,1
gameRG/Clip1,171,801.0,426.0,1
gameRG/Clip1,172,795.0,420.0,1
gameRG/Clip1,173,786.0,417.0,1
gameRG/Clip1,174,780.0,411.0,1
gameRG/Clip1,175,774.0,408.0,1
gameRG/Clip1,176,765.0,405.0,1
gameRG/Clip1,177,759.0,405.0,1
gameRG/Clip1,178,753.0,405.0,1
gameRG/Clip1,179,747.0,402.0,1
gameRG/Clip1,180,741.0,402.0,1
gameRG/Clip1,181,735.0,402.0,1
gameRG/Clip1,182,732.0,402.0,1
gameRG/Clip1,183,726.0,396.0,1
gameRG/Clip1,184,723.0,390.0,1
gameRG/Clip1,185,720.0,372.0,1
gameRG/Clip1,186,717.0,363.0,1
gameRG/Clip1,187,711.0,354.0,1
gameRG/Clip1,188,708.0,342.0,1
gameRG/Clip1,189,705.0,333.0,1
gameRG/Clip1,190,699.0,324.0,1
gameRG/Clip1,191,699.0,315.0,1
gameRG/Clip1,192,696.0,309.0,1
gameRG/Clip1,193,693.0,300.0,1
gameRG/Clip1,194,690.0,294.0,1
gameRG/Clip1,195,687.0,288.0,1
gameRG/Clip1,196,681.0,282.0,1
gameRG/Clip1,197,681.0,276.0,1
gameRG/Clip1,198,678.0,273.0,1
gameRG/Clip1,199,675.0,267.0,1
gameRG/Clip1,200,669.0,258.0,1
gameRG/Clip1,201,669.0,258.0,1
gameRG/Clip1,202,666.0,255.0,1
gameRG/Clip1,203,663.0,252.0,1
gameRG/Clip1,204,663.0,252.0,1
gameRG/Clip1,205,660.0,255.0,1
gameRG/Clip1,206,657.0,255.0,1
gameRG/Clip1,207,657.0,258.0,1
gameRG/Clip1,208,654.0,261.0,1
gameRG/Clip1,209,651.0,264.0,1
gameRG/Clip1,210,651.0,270.0,1
gameRG/Clip1,211,648.0,276.0,1
gameRG/Clip1,212,645.0,276.0,1
gameRG/Clip1,213,645.0,282.0,1
gameRG/Clip1,214,642.0,288.0,1
gameRG/Clip1,215,639.0,294.0,1
gameRG/Clip1,216,636.0,300.0,1
gameRG/Clip1,217,,,0
gameRG/Clip1,218,636.0,309.0,1
gameRG/Clip1,219,,,0
gameRG/Clip1,220,,,0
gameRG/Clip1,221,627.0,339.0,1
gameRG/Clip1,222,624.0,348.0,1
gameRG/Clip1,223,,,0
gameRG/Clip1,224,621.0,366.0,1
gameRG/Clip1,225,618.0,378.0,1
gameRG/Clip1,226,615.0,390.0,1
gameRG/Clip1,227,612.0,402.0,1
gameRG/Clip1,228,609.0,417.0,1
gameRG/Clip1,229,606.0,429.0,1
gameRG/Clip1,230,606.0,444.0,1
gameRG/Clip1,231,603.0,450.0,1
gameRG/Clip1,232,597.0,474.0,1
gameRG/Clip1,233,834.0,567.0,1
gameRG/Clip1,234,597.0,501.0,1
gameRG/Clip1,235,831.0,561.0,1
gameRG/Clip1,236,588.0,540.0,1
gameRG/Clip1,237,588.0,555.0,1
gameRG/Clip1,238,582.0,579.0,1
gameRG/Clip1,239,825.0,546.0,1
gameRG/Clip1,240,576.0,615.0,1
gameRG/Clip1,241,573.0,633.0,1
gameRG/Clip1,242,570.0,651.0,1
gameRG/Clip1,243,819.0,540.0,1
gameRG/Clip1,244,567.0,711.0,1
gameRG/Clip1,245,564.0,732.0,1
gameRG/Clip1,246,564.0,732.0,1
gameRG/Clip1,247,558.0,729.0,1
gameRG/Clip1,248,558.0,729.0,1
gameRG/Clip1,249,,,0
gameRG/Clip2,0,,,0
gameRG/Clip2,1,,,0
gameRG/Clip2,2,1821.0,429.0,1
gameRG/Clip2,3,,,0
gameRG/Clip2,4,,,0
gameRG/Clip2,5,1821.0,429.0,1
gameRG/Clip2,6,1821.0,429.0,1
gameRG/Clip2,7,,,0
gameRG/Clip2,8,,,0
gameRG/Clip2,9,,,0
gameRG/Clip2,10,,,0
gameRG/Clip2,11,1821.0,429.0,1
gameRG/Clip2,12,1299.0,450.0,1
gameRG/Clip2,13,846.0,243.0,1
gameRG/Clip2,14,,,0
gameRG/Clip2,15,843.0,240.0,1
gameRG/Clip2,16,846.0,240.0,1
gameRG/Clip2,17,,,0
gameRG/Clip2,18,,,0
gameRG/Clip2,19,,,0
gameRG/Clip2,20,828.0,207.0,1
gameRG/Clip2,21,,,0
gameRG/Clip2,22,825.0,198.0,1
gameRG/Clip2,23,,,0
gameRG/Clip2,24,801.0,303.0,1
gameRG/Clip2,25,849.0,237.0,1
gameRG/Clip2,26,852.0,255.0,1
gameRG/Clip2,27,864.0,288.0,1
gameRG/Clip2,28,867.0,315.0,1
gameRG/Clip2,29,873.0,333.0,1
gameRG/Clip2,30,879.0,357.0,1
gameRG/Clip2,31,888.0,390.0,1
gameRG/Clip2,32,891.0,411.0,1
gameRG/Clip2,33,,,0
gameRG/Clip2,34,906.0,465.0,1
gameRG/Clip2,35,,,0
gameRG/Clip2,36,921.0,516.0,1
gameRG/Clip2,37,933.0,564.0,1
gameRG/Clip2,38,939.0,591.0,1
gameRG/Clip2,39,948.0,615.0,1
gameRG/Clip2,40,951.0,618.0,1
gameRG/Clip2,41,960.0,621.0,1
gameRG/Clip2,42,963.0,627.0,1
gameRG/Clip2,43,972.0,630.0,1
gameRG/Clip2,44,978.0,636.0,1
gameRG/Clip2,45,984.0,642.0,1
gameRG/Clip2,46,990.0,648.0,1
gameRG/Clip2,47,999.0,657.0,1
gameRG/Clip2,48,1005.0,666.0,1
gameRG/Clip2,49,1014.0,678.0,1
gameRG/Clip2,50,1023.0,687.0,1
gameRG/Clip2,51,1029.0,699.0,1
gameRG/Clip2,52,1038.0,711.0,1
gameRG/Clip2,53,1044.0,723.0,1
gameRG/Clip2,54,1053.0,738.0,1
gameRG/Clip2,55,1062.0,756.0,1
gameRG/Clip2,56,1071.0,771.0,1
gameRG/Clip2,57,1074.0,783.0,1
gameRG/Clip2,58,684.0,339.0,1
gameRG/Clip2,59,1068.0,729.0,1
gameRG/Clip2,60,1062.0,705.0,1
